,0,1,2,3,4,5,6,7,8,9,10,11
87,88,Benjamin PICKERSGILL-BROWN (#1497),04:43:33,"NZL
																							|","30-34
(14)","Male 
													(81)",00:25:00,00:05:03,02:34:29,00:01:48,01:37:11,
88,89,Jeremy BIGGELAAR (#87),04:44:18,"NZL
																							|","30-34
(15)","Male 
													(82)",00:32:33,00:05:47,02:24:00,00:01:12,01:40:45,
89,90,Emily MCNAUGHTAN (#461),04:44:24,"NZL
																							|","25-29
(1)","Female 
													(8)",00:29:38,00:05:29,02:35:36,00:01:39,01:32:00,
90,91,Luke WILLIAMS (#1184),04:44:43,"NZL
																							|","50-54
(5)","Male 
													(83)",00:37:41,00:04:42,02:30:23,00:01:30,01:30:26,
91,92,Ethan BRIND (#399),04:44:45,"NZL
																							|","25-29
(14)","Male 
													(84)",00:32:24,00:05:30,02:29:14,00:01:41,01:35:55,
92,93,Chris THOMSON (#764),04:45:25,"NZL
																							|","35-39
(13)","Male 
													(85)",00:34:41,00:04:51,02:25:29,00:01:46,01:38:36,
93,94,Greg REDFORD (#1512),04:45:29,"AUS
																							|","40-44
(9)","Male 
													(86)",00:33:51,00:05:42,02:27:12,00:01:16,01:37:26,
94,95,Graham BREWSTER (#178),04:45:48,"NZL
																							|","40-44
(10)","Male 
													(87)",00:33:59,00:05:46,02:30:14,00:01:55,01:33:53,
95,96,Jared HARTSHORN (#296),04:45:58,"NZL
																							|","18-24
(12)","Male 
													(88)",00:26:24,00:03:49,02:28:10,00:01:32,01:46:01,
96,97,Mark EVANS (#359),04:46:28,"NZL
																							|","25-29
(15)","Male 
													(89)",00:25:47,00:05:09,02:30:57,00:01:05,01:43:27,
97,98,Hamish HARGEST (#537),04:46:43,"NZL
																							|","30-34
(16)","Male 
													(90)",00:30:29,00:05:22,02:30:31,00:01:22,01:38:57,
98,99,Matthew DOBSON (#377),04:46:54,"NZL
																							|","25-29
(16)","Male 
													(91)",00:29:08,00:05:09,02:30:47,00:01:52,01:39:56,
99,100,Renee KILEY (#30),04:47:03,"AUS
																							|","Pro
(8)","Female 
													(9)",00:29:11,00:05:12,02:31:17,00:01:58,01:39:25,
100,101,Tim BUCKLEY (#685),04:47:07,"NZL
																							|","35-39
(14)","Male 
													(92)",00:28:39,00:05:06,02:35:40,00:01:21,01:36:19,
101,102,Mark RUSSELL (#355),04:47:13,"NZL
																							|","25-29
(17)","Male 
													(93)",00:30:32,00:05:23,02:36:42,00:01:35,01:32:59,
102,103,Matt BROOK (#891),04:47:14,"NZL
																							|","40-44
(11)","Male 
													(94)",00:28:37,00:05:11,02:31:38,00:01:24,01:40:21,
103,104,Warren ROSS (#679),04:47:28,"NZL
																							|","35-39
(15)","Male 
													(95)",00:35:01,00:04:40,02:29:23,00:01:01,01:37:21,
104,105,Damion LITTLEWOOD (#111),04:47:32,"GBR
																							|","45-49
(8)","Male 
													(96)",00:29:17,00:05:00,02:23:12,00:01:37,01:48:23,
105,106,Grant DAVIS (#370),04:47:47,"NZL
																							|","25-29
(18)","Male 
													(97)",00:24:57,00:05:56,02:30:31,00:02:23,01:43:57,
106,107,Sam BRADLEY (#116),04:47:48,"NZL
																							|","45-49
(1)","Female 
													(10)",00:28:59,00:05:22,02:34:22,00:01:09,01:37:55,
107,108,Olivia RITCHIE (#456),04:48:22,"NZL
																							|","25-29
(2)","Female 
													(11)",00:28:12,00:04:36,02:41:31,00:01:16,01:32:45,
108,109,Mike BUNTON (#252),04:48:39,"NZL
																							|","40-44
(12)","Male 
													(98)",00:35:37,00:05:30,02:28:14,00:01:40,01:37:37,
109,110,Ben CHIDGEY (#850),04:48:47,"NZL
																							|","40-44
(13)","Male 
													(99)",00:29:50,00:04:14,02:38:48,00:01:33,01:34:21,
110,111,Grant CLIFTON (#1046),04:48:57,"NZL
																							|","45-49
(9)","Male 
													(100)",00:38:19,00:05:40,02:29:19,00:01:26,01:34:12,
111,112,Alex WING (#437),04:49:03,"NZL
																							|","25-29
(19)","Male 
													(101)",00:31:34,00:04:35,02:26:36,00:01:20,01:44:56,
112,113,Aaron HILL (#1000),04:49:31,"AUS
																							|","45-49
(10)","Male 
													(102)",00:26:21,00:05:13,02:27:26,00:01:52,01:48:37,
113,114,Sarah SHORT (#32),04:49:43,"AUS
																							|","Pro
(9)","Female 
													(12)",00:29:09,00:04:08,02:46:27,00:01:14,01:28:42,
114,115,Scott CARLEY (#672),04:49:55,"NZL
																							|","35-39
(16)","Male 
													(103)",00:32:47,00:05:34,02:34:21,00:02:25,01:34:46,
115,116,Matthew BRICK (#1344),04:50:00,"NZL
																							|","55-59
(3)","Male 
													(104)",00:34:20,00:06:03,02:25:57,00:01:50,01:41:48,
116,117,David MATTSON (#70),04:50:04,"NZL
																							|","50-54
(6)","Male 
													(105)",00:30:01,00:05:41,02:33:58,00:01:25,01:38:58,
117,118,Robert SCHREY (#854),04:50:06,"NZL
																							|","40-44
(14)","Male 
													(106)",00:35:15,00:05:13,02:30:26,00:02:00,01:37:10,
118,119,Robert LOVERIDGE (#69),04:50:13,"NZL
																							|","50-54
(7)","Male 
													(107)",00:31:28,00:05:44,02:30:37,00:01:33,01:40:49,
119,120,Laura ARMSTRONG (#27),04:50:18,"NZL
																							|","Pro
(10)","Female 
													(13)",00:32:10,00:04:49,02:32:23,00:01:10,01:39:44,
120,121,Scott FLETCHER (#697),04:50:30,"NZL
																							|","35-39
(17)","Male 
													(108)",00:32:01,00:05:06,02:45:41,00:01:00,01:26:41,
121,122,Claire BADENHORST (#635),04:51:00,"NZL
																							|","30-34
(1)","Female 
													(14)",00:27:39,00:05:13,02:38:47,00:01:18,01:38:01,
122,123,Samuel PENDREIGH (#317),04:51:08,"NZL
																							|","18-24
(13)","Male 
													(109)",00:32:47,00:04:26,02:42:31,00:01:50,01:29:32,
123,124,Bruno LIRA (#90),04:51:13,"BRA
																							|","30-34
(17)","Male 
													(110)",00:35:50,00:05:18,02:30:57,00:01:59,01:37:07,
124,125,Jim FINLAY (#121),04:51:23,"AUS
																							|","50-54
(8)","Male 
													(111)",00:30:38,00:05:29,02:35:22,00:01:30,01:38:22,
125,126,Peter KANE (#1450),04:51:35,"NZL
																							|","60-64
(1)","Male 
													(112)",00:40:05,00:06:45,02:26:53,00:02:07,01:35:43,
126,127,Gerhard MARITZ (#682),04:51:48,"ZAF
																							|","35-39
(18)","Male 
													(113)",00:30:09,00:05:32,02:31:54,00:01:53,01:42:17,
127,128,Victoria WILTSHIRE (#92),04:51:55,"NZL
																							|","30-34
(2)","Female 
													(15)",00:27:50,00:05:51,02:42:18,00:01:33,01:34:21,
128,129,Ben BIGGELAAR (#544),04:52:15,"NZL
																							|","30-34
(18)","Male 
													(114)",00:32:34,00:06:09,02:23:38,00:01:49,01:48:04,
